nome, trocas,,,
L22-7,25,,,
L22-8,25,,,
L22-9,25,,,
L22-10,25,,,
L23-1,29,,,
L23-2,28,,,
L23-3,31,,,
L23-4,25,,,
L23-5,27,,,
L23-6,25,,,
L23-7,28,,,
L23-8,30,,,
L23-9,26,,,
L23-10,27,,,
L24-1,27,,,
L24-2,27,,,
L24-3,27,,,
L24-4,25,,,
L24-5,26,,,
L24-6,28,,,
L24-7,27,,,
L24-8,26,,,
L24-9,27,,,
L24-10,28,,,
L25-1,33,,,
L25-2,32,,,
L25-3,28,,,
L25-4,30,,,
L25-5,32,,,
L25-6,37,,,
L25-7,30,,,
L25-8,34,,,
L25-9,30,,,
L25-10,32,,,
L26-1,37,,,
L26-2,35,,,
L26-3,32,,,
L26-4,32,,,
L26-5,32,,,
L26-6,33,,,
L26-7,34,,,
L26-8,35,,,
L26-9,32,,,
L26-10,36,,,
L27-1,21,,,
L27-2,21,,,
L27-3,22,,,
L27-4,27,,,
L27-5,24,,,
L27-6,21,,,
L27-7,23,,,
L27-8,21,,,
L27-9,22,,,
L27-10,22,,,
L28-1,20,,,
L28-2,20,,,
L28-3,20,,,
L28-4,20,,,
L28-5,20,,,
L28-6,20,,,
L28-7,20,,,
L28-8,20,,,
L28-9,20,,,
L28-10,20,,,
L29-1,20,,,
L29-2,20,,,
L29-3,20,,,
L29-4,20,,,
L29-5,20,,,
L29-6,20,,,
L29-7,20,,,
L29-8,20,,,
L29-9,20,,,
L29-10,20,,,
L30-1,25,,,
L30-2,25,,,
L30-3,25,,,
L30-4,27,,,
L30-5,25,,,
L30-6,26,,,
L30-7,26,,,
L30-8,25,,,
L30-9,25,,,
L30-10,25,,,
L31-1,25,,,
L31-2,25,,,
L31-3,25,,,
L31-4,25,,,
L31-5,25,,,
L31-6,25,,,
L31-7,25,,,
L31-8,25,,,
L31-9,25,,,
L31-10,25,,,
L32-1,25,,,
L32-2,25,,,
L32-3,25,,,
L32-4,25,,,
L32-5,25,,,
L32-6,25,,,
L32-7,25,,,
L32-8,25,,,
L32-9,25,,,
L32-10,25,,,
L33-1,25,,,
L33-2,25,,,
L33-3,25,,,
L33-4,25,,,
L33-5,25,,,
L33-6,25,,,
L33-7,25,,,
L33-8,25,,,
L33-9,25,,,
L33-10,25,,,
